S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2021040103003380,HIDCL,57,58,1606,452,725912.00
2,2021040104004940,LEC,55,51,1000,298,298000.00
3,2021040104004924,NICL,49,35,1000,832,832000.00
4,2021040101002107,SBL,49,33,620,424,262880.00
5,2021040101002104,KBL,56,45,113,308,34804.00
6,2021040101002915,LBL,57,54,25,295,7375.00
7,2021040104006722,UIC,56,42,2000,725,1450000.00
8,2021040101002614,CCBL,55,28,35,248,8680.00
9,2021040104006049,LEMF,54,49,1000,10.99,10990.00
10,2021040101002127,NABIL,58,45,22,1293,28446.00
11,2021040104004957,PRIN,49,50,500,980,490000.00
12,2021040103003440,GUFL,59,34,50,490,24500.00
13,2021040103004206,LBBL,59,36,56,257,14392.00
14,2021040104006022,AKPL,58,50,500,331,165500.00
15,2021040103004739,FMDBL,56,55,16,878,14048.00
16,2021040104006746,SJCL,56,41,40,355,14200.00
17,2021040101002106,SBL,49,49,380,424,161120.00
18,2021040104004978,UMRH,49,47,10,306,3060.00
19,2021040104004987,GLH,58,32,10,379,3790.00
20,2021040103003411,GUFL,59,4,38,490,18620.00
21,2021040104005957,GLH,58,21,10,379,3790.00
22,2021040103003388,FMDBL,57,58,250,872,218000.00
23,2021040103003369,HIDCL,54,58,130,452,58760.00
24,2021040104004919,API,58,33,200,323,64600.00
25,2021040104004958,PRIN,49,56,20,980,19600.00
26,2021040104005003,UPPER,54,49,100,890,89000.00
27,2021040103004238,CBBL,57,55,50,1663,83150.00
28,2021040103004193,DDBL,58,14,100,1756,175600.00
29,2021040104005966,UPPER,57,48,1300,890,1157000.00
30,2021040101002612,MEGA,57,19,27,306,8262.00
31,2021040104005008,UPPER,55,49,180,890,160200.00
32,2021040104006731,SJCL,56,4,40,354,14160.00
33,2021040104004988,PICL,58,33,80,890,71200.00
34,2021040103003364,HIDCL,58,58,500,452,226000.00
35,2021040104006749,PICL,56,16,1000,904,904000.00
36,2021040103004229,NLICL,55,58,67,1187,79529.00
37,2021040104004959,PRIN,49,57,50,980,49000.00
38,2021040103004736,RLI,57,22,100,726,72600.00
39,2021040104004920,PICL,14,28,400,889,355600.00
40,2021040104006012,PIC,59,48,20,1298,25960.00
